"kreis","key","year","V","P","A","total_pop","bpcr","pgr_log","lcr_log","lcrpgr_log","ln_density","urban_pop_share","ln_gdp","int_migr"
"Altenkirchen (Westerwald)","altenkirchen|L",2005,6612406.58431373,70745.4713665027,81573926.006901,136425,0.0198198734627757,-0.00331301164331622,0.0165068618194594,-4.98243398955777,6.76533412782383,0.518566768308614,2.93651293413114,0.840000007301568
"Altenkirchen (Westerwald)","altenkirchen|L",2010,7185017.4745098,69980.5779943396,82575250.1279948,131952,0.0187842121709619,-0.00217415583867976,0.0166100563322821,-7.63977265878439,6.74226302493638,0.530348747986689,3.07083972127004,-2.73199996352196
"Altenkirchen (Westerwald)","altenkirchen|L",2015,7774143.4117647,70845.6362969218,85579302.100651,129171,0.0133039402161683,0.00245712543692965,0.015761065653098,6.41443266030104,6.71881519647377,0.548463945443805,3.21084362240725,-0.54200005531311
"Altenkirchen (Westerwald)","altenkirchen|L",2020,7997231.83529412,71556.3048772552,84577958.0772135,129087,0.00366218684971078,0.00199624941770018,0.00565843626741097,2.83453370968539,6.74056620974008,0.554326189912658,3.30652036826833,2.92599997520447
"Altmarkkreis Salzwedel","altmarkkreissalzwedel|L",1995,2976291,31292.9292381997,21037462.7832031,105371,0.0225351627137826,-0.00171773355893772,0.0208174291548449,-12.1191258367909,7.30484265762943,0.296978573214639,2.42745406830612,0.389999985694885
"Altmarkkreis Salzwedel","altmarkkreissalzwedel|L",2000,3352905,30904.7887753905,23041013.6035156,101134,0.0263260520890516,-0.00249620412947035,0.0238298479595813,-9.54643399481817,7.2013905993599,0.305582581282165,2.63404480969952,-4.35399988889694
"Altmarkkreis Salzwedel","altmarkkreissalzwedel|L",2005,3389544,28466.715899183,22039209.4335938,96040,0.0186087743330745,-0.016435121368303,0.00217365296477155,-0.132256581260403,7.16366770656433,0.29640478862123,2.81060683992269,-6.93000001907349
"Altmarkkreis Salzwedel","altmarkkreissalzwedel|L",2010,3418138,26278.4487325377,21037396.4257812,89512,0.0176773874937152,-0.0159972756345001,0.00168011185921508,-0.105024874084917,7.13020280622327,0.293574590362607,2.93651293413114,-9.73600006103517
"Altmarkkreis Salzwedel","altmarkkreissalzwedel|L",2015,3511993,24785.333082872,21037467.2070312,86164,0.0171169634797141,-0.01169941863207,0.00541754484764414,-0.463061030468112,7.07170234852438,0.287652999894062,3.11573503211545,-1.87199999690056
"Altmarkkreis Salzwedel","altmarkkreissalzwedel|L",2020,3577552,23353.9838389182,21037467.2070312,82687,0.0155959143302794,-0.0118968973246309,0.00369901700564855,-0.31092283178659,7.01221786190123,0.282438398284109,3.25385677018864,-2.13400003910065
"Altötting","altoetting|L",1995,6308127.3254902,64759.709577006,53406037.5511757,105914,0.00826570423980998,0.0163139049648524,0.0245796092046624,1.50666620025176,7.10051512084578,0.611436727694224,3.1599747040004,11.3699998855591
"Altötting","altoetting|L",2000,6805787.70980392,66546.8623873103,54406790.3636757,108268,0.00974235549380843,0.00544455056756738,0.0151869060613758,2.78937735500936,7.10917270708089,0.614649410604336,3.50465610378944,4.64199995994568
"Altötting","altoetting|L",2005,7129204.58039216,66106.1870789418,54406790.3636757,109227,0.0106140674877649,-0.00132881055118524,0.00928525693657961,-6.98764540084182,7.10252865432497,0.605218371638348,3.54095932403731,3.23000005483627
"Altötting","altoetting|L",2010,7464392.49019608,65879.4550663662,54406790.3636757,107711,0.0098760177108438,-0.000687142122191437,0.00918887558865235,-13.3725983197583,7.09909294371401,0.611631635268136,3.82362886466694,-0.33199998214841
"Altötting","altoetting|L",2015,7823314.16470588,66403.6709934122,54406790.3636757,108485,0.00780770341547003,0.00158514146676096,0.00939284488223097,5.92555622270364,7.10701865104782,0.612100022983935,3.84929615602394,1.46199997663498
"Altötting","altoetting|L",2020,8416110.72549019,67169.5829494888,56632234.947886,111654,0.0123142744140507,0.00229363387586853,0.0146079082899192,6.36889280525981,7.07839744422055,0.601586892986268,3.88197609351039,3.13400001525879
"Alzey-Worms","alzeyworms|L",1995,4420729.43529412,49860.1609002175,44044069.223112,116712,0.0095098014615938,0.0319720674936013,0.0414818689551951,1.29744092913281,7.03178687818143,0.42720680735672,2.62031127013614,9.89999961853027
"Alzey-Worms","alzeyworms|L",2000,4881734.85882353,51587.6254148656,45045187.8461589,124183,0.0130272852815337,0.00681190421101229,0.019839189492546,2.91242931168549,7.04337094488386,0.415416163362663,2.76820414307926,11.1940000534058
"Alzey-Worms","alzeyworms|L",2005,5181363.96862745,52506.4642937268,47023712.6542356,126328,0.00838264204690041,0.00353089304735332,0.0119135350942538,3.37408551731236,7.01803957136569,0.415635997512244,2.84954980311234,3.15400002002716
"Alzey-Worms","alzeyworms|L",2010,5403726.6,53063.129735711,47023712.6542356,124760,0.00629489005144532,0.00210920807797161,0.00840409812941694,3.98448034463201,7.02858561175555,0.42532165546418,3.02042488614436,-1.26999997496605
"Alzey-Worms","alzeyworms|L",2015,5622305.63137255,54109.4423986684,47023712.6542356,127274,0.00402532659440352,0.00390527496611866,0.00793060156052217,2.03074089003371,7.04811198658614,0.425141367433006,3.14458318084096,1.42400000095367
"Alzey-Worms","alzeyworms|L",2020,5787182.41568627,54134.6842599756,47023712.6542356,130715,0.00568746432269921,9.32775293918124e-05,0.005780741852091,61.9735738047798,7.0485783742331,0.414142862410401,3.20963326198184,4.1260000705719
"Amberg","amberg|L",1995,3231057.96470588,41469.5876981763,21204029.030216,43611,0.00707516357647967,0.00656661840345481,0.0136417819799345,2.07744399655649,7.57852439880407,0.950897427212775,3.3854067190083,-18.3400001525879
"Amberg","amberg|L",2000,3522357.37647059,42354.9534664943,22205052.7411535,43794,0.0130391601264767,0.00422500943809849,0.0172641695645752,4.08618485177754,7.55352079427676,0.967140555018823,3.54240752813149,6.45000011920928
"Amberg","amberg|L",2005,3595227.2745098,41048.0704252138,21204029.030216,44618,0.0103636568038774,-0.00626830998216214,0.00409534682171525,-0.653341464185636,7.56830789608376,0.919989027415255,3.57234559499622,5.51399993896484
"Amberg","amberg|L",2010,3736288.25882353,40134.5574478199,21204029.030216,43755,0.0121983100119076,-0.00450121687694971,0.00769709313495794,-1.71000272712341,7.54580181169901,0.917256483780595,3.70696491042134,0.69399997293949
"Amberg","amberg|L",2015,3888218.4745098,39927.5728839976,21204029.030216,41861,0.00900580250760831,-0.00103412199556625,0.00797168051204204,-7.70864612320424,7.54063120172118,0.953813164616172,3.95527402988698,0.183999967575072
"Amberg","amberg|L",2020,4229325.16862745,40605.0248781994,23206087.4872472,42052,0.0134533358475215,0.00336493789342202,0.0168182737409435,4.9980933597083,7.46723246745913,0.965590813235979,4.1680595433466,0.502000063657763
"Amberg-Sulzbach","ambergsulzbach|L",1995,2702866.21568627,33776.2244581262,24842805.7806717,105596,0.0168029049359198,0.0150673306913556,0.0318702356272754,2.11518790422247,7.21494421073791,0.319862726411286,2.62031127013614,5.42000007629395
"Amberg-Sulzbach","ambergsulzbach|L",2000,3130073.29019608,35005.0270567377,27846018.1537186,108899,0.0222018207131466,0.00714690895851032,0.0293487296716569,4.10649272881941,7.13655697893062,0.321444889822108,2.80578174494786,4.4539999961853
"Amberg-Sulzbach","ambergsulzbach|L",2005,3308680.4,34317.5511221669,27846018.1537186,108159,0.0150655566142332,-0.00396695270867627,0.0110986039055569,-2.79776562026635,7.11672221538724,0.317287984561312,2.85991249797576,-0.828000031411648
"Amberg-Sulzbach","ambergsulzbach|L",2010,3488770.43921569,33712.6198889871,27846018.1537186,105180,0.0141569196804222,-0.00355693462950964,0.0105999850509125,-2.98008992433292,7.0989375422397,0.320523102196112,2.99822911570073,-3.18399996757507
"Amberg-Sulzbach","ambergsulzbach|L",2015,3738182.25098039,33953.7028105526,28847037.4603592,103568,0.0123848859406008,0.00142513399299528,0.013810019933596,9.69033087518372,7.07074589362543,0.327839707347372,3.20274645844522,-0.477999996766447
"Amberg-Sulzbach","ambergsulzbach|L",2020,3898197.61176471,33636.7023627608,27846018.1537186,102998,0.0102589885927543,-0.00187602232174062,0.00838296627101371,-4.46847895884085,7.09668310059597,0.326576267138787,3.3502549109527,0.449999994039534
"Ammerland","ammerland|L",1995,4931055.79215686,50667.3389665774,54291205.9139093,103651,0.0216038173395861,0.0121143681883426,0.0337181855279287,2.78332183764854,6.83867452002881,0.488826339992643,2.86105734403953,8.61999988555908
"Ammerland","ammerland|L",2000,5612293.74901961,52540.68766207,54291205.9139093,110650,0.0186200021561776,0.00726127427149755,0.0258812764276752,3.56428850639427,6.8749808913863,0.474836761518934,2.89259156538433,11.6439998626709
"Ammerland","ammerland|L",2005,6713922.8745098,58219.1038277399,63308018.3162531,115891,0.0153196469048074,0.0205251345630086,0.035844781467816,1.74638472443524,6.82395683153127,0.502360872093087,2.91831113895071,8.61000003814697
"Ammerland","ammerland|L",2010,7523660.87843137,61100.990604659,66313665.1912531,118004,0.0131109787335605,0.00966290670969651,0.022773885443257,2.35683590118944,6.82588737043476,0.517787453007178,3.11484778492109,5.01600008010864
"Ammerland","ammerland|L",2015,8316365.30980392,63593.054259459,68317441.5584406,121435,0.0120392566795203,0.00799523514739822,0.0200344918269185,2.50580395167465,6.83609443274343,0.52367978144241,3.31926397681728,6.6380000591278
"Ammerland","ammerland|L",2020,8698045.6,63023.2534811005,67315562.2127374,125643,0.0107747105256617,-0.00180009869217761,0.00897461183348406,-4.98562210643423,6.84186759378208,0.501605767779347,3.49529467726435,6.46000003814697
"Anhalt-Bitterfeld","anhaltbitterfeld|L",1995,11718544.0117647,124238.085820267,88483384.6698415,217835,0.0172717937278298,-0.00481767221256446,0.0124541215152653,-2.58509109083533,7.24714026004656,0.570331148898327,2.57945893491598,-0.709999978542328
"Anhalt-Bitterfeld","anhaltbitterfeld|L",2000,12367886.3960784,117874.713297133,88483384.6698415,206935,0.0213016448117305,-0.0105154925839655,0.010786152227765,-1.02573913125213,7.19456279712674,0.569621926194859,2.68580459735557,-6.11399986743927
"Anhalt-Bitterfeld","anhaltbitterfeld|L",2005,12401026.0588235,106347.630846726,84519309.0469133,190673,0.021116990722407,-0.020581808847464,0.000535181874943017,-0.0260026647273502,7.13748852574387,0.557748768030744,2.87016901597821,-11.2400000572204
"Anhalt-Bitterfeld","anhaltbitterfeld|L",2010,12617303.2313726,97000.2434608547,84519309.0469133,176642,0.0218579408782132,-0.0183999552091062,0.003457985669107,-0.187934461242364,7.04548874969834,0.549134653484759,3.13809949168143,-9.17399997711181
"Anhalt-Bitterfeld","anhaltbitterfeld|L",2015,13229679.8352941,91566.7639974141,86522384.2129289,164817,0.0210077509486357,-0.011529024204769,0.00947872674386673,-0.822162099368813,6.96442048887533,0.555566258319313,3.27032909486229,-3.66399993896484
"Anhalt-Bitterfeld","anhaltbitterfeld|L",2020,12776351.8431373,83663.0949164315,79511575.7656633,157217,0.0110807160109262,-0.0180540816143084,-0.00697336560338224,0.386248702778413,6.95865062011684,0.532150434853937,3.44329858694021,-2.29200003147125
"Ansbach","ansbach|L",1995,2649125,30251.2301343908,22021491.8457031,178265,0.00930009177817116,0.00551701355740834,0.0148171053355795,2.68571124239542,7.22527324965443,0.169698090676189,2.76190686907334,8
"Ansbach","ansbach|L",2000,3599660,37336.8358454332,29028532.0996094,183207,0.0192332906995553,0.042088709253017,0.0613219999525723,1.45697031438845,7.15945646268514,0.2037959021513,2.92745344913773,4.0680000782013
"Ansbach","ansbach|L",2005,3388756,31993.0973788965,27026427.3730469,183755,0.0188167437457441,-0.030892044578529,-0.0120753008327849,0.390887071332845,7.07646027270979,0.174107356963873,3.01798291979637,1.04600002765655
"Ansbach","ansbach|L",2010,3677592,31784.3105368773,28027391.5429688,179925,0.0176685363426778,-0.00130947678623001,0.0163590595564478,-12.4928213531341,7.03354576629986,0.176653108444503,3.21607190977677,-2.80800004005432
"Ansbach","ansbach|L",2015,3941180,31704.7137930738,28027391.5429688,181314,0.0143458798893072,-0.000501483753115194,0.013844396136192,-27.6068687174634,7.03103834753429,0.174860814901628,3.34497972318549,-0.751999986171722
"Ansbach","ansbach|L",2020,5082283,36922.7833606414,34033344.1503906,185316,0.0203833946788456,0.0304726851668126,0.0508560798456583,1.66890707422938,6.98924332040204,0.199242285397059,3.4509394953345,1.89800001084805
"Ansbach- Urban","ansbach|S",1995,2490324,31057.1332557043,17016900.2734375,39896,0.00553209375813558,0.00804188550433425,0.0135739792624698,1.68791003741026,7.50937681149578,0.778452307391826,3.55934006538981,6.71999979019165
"Ansbach- Urban","ansbach|S",2000,2652044,31843.7332861843,18017897.5195312,40165,0.00758115037375476,0.00500241781509722,0.012583568188852,2.51549723633139,7.47723031399405,0.792822937537265,3.53718405978478,1.26199998855591
"Ansbach- Urban","ansbach|S",2005,2772551,31739.563772955,19018885.9472656,40624,0.00954276117968658,-0.000655326862539083,0.00888743431714752,-13.561834292452,7.41988676751989,0.781300801815552,3.70868206271062,4.0599999666214
"Ansbach- Urban","ansbach|S",2010,2857548,31435.0717605115,19018885.9472656,40253,0.00796716920170118,-0.0019279533172207,0.00603921588448045,-3.13244923024717,7.41024700093379,0.780937365178036,3.85354607243363,3.03200004696846
"Ansbach- Urban","ansbach|S",2015,2950586,31488.764252685,19018885.9472656,41159,0.00606665861787795,0.00034131743140139,0.00640797604927932,18.7742419804617,7.4119535880908,0.765051732371656,3.99360299242057,4.51400003433228
"Ansbach- Urban","ansbach|S",2020,3068431,31264.6082470361,19018885.9472656,41681,0.00926132445919345,-0.00142881219022667,0.00783251226896678,-5.48183471735653,7.40480952713966,0.750092566086133,4.08328361743409,-0.332000017166138
"Aschaffenburg","aschaffenburg|L",1995,10572896.345098,111581.937976432,92087102.4617494,170565,0.00537211508226511,0.0137046850334839,0.019076800115749,1.39199113800424,7.09977957470406,0.65419012093004,3.00518745877634,7.30999994277954
"Aschaffenburg","aschaffenburg|L",2000,11930212.7294118,120917.97846672,100328809.644359,173915,0.0080854056760389,0.0160706522144624,0.0241560578905013,1.50311621259296,7.09441484235059,0.695270554389902,3.1701056380688,2.10400006771088
"Aschaffenburg","aschaffenburg|L",2005,12673833.6156863,121882.394888821,103332311.275218,174974,0.0105042607473437,0.00158883033128384,0.0120930910786275,7.61131685398767,7.07286176459309,0.696574318977796,3.22007513287658,0.874000000953673
"Aschaffenburg","aschaffenburg|L",2010,13437433.7568627,123713.35519706,105334628.033031,172667,0.00871884377063017,0.00298212689777547,0.0117009706684057,3.9236997852553,7.06858030066306,0.716485229934267,3.28952066159393,-0.748000000417232
"Aschaffenburg","aschaffenburg|L",2015,14108641.8862745,125887.753162403,106331666.187086,173695,0.00626394184069495,0.00348468480324132,0.00974862664393626,2.79756339364423,7.07658280547288,0.724763252611781,3.37587957367787,-1
"Aschaffenburg","aschaffenburg|L",2020,14765478.7764706,128358.844340102,110336368.159743,174658,0.00521305616112501,0.00388783018733078,0.00910088634845578,2.34086518956325,7.0590514996018,0.734915345074957,3.51422840816686,1.00000005364418
"Aschaffenburg- Urban","aschaffenburg|S",1995,5442704.19215686,64327.7904162597,34223464.0916054,66360,0.0040053311569396,0.00878546590494523,0.0127907970618849,1.45590424005688,7.53883552280422,0.969375985778476,3.6566144817073,-14.9899997711182
"Aschaffenburg- Urban","aschaffenburg|S",2000,5805070.49019608,66456.3076908097,35351145.1230239,67592,0.00638055185185005,0.00651059346537573,0.0128911453172258,1.98002615057794,7.53896919782114,0.98319782948884,3.75840554167195,4.15000009536744
"Aschaffenburg- Urban","aschaffenburg|S",2005,6056173.84313725,67256.502106358,37022822.1208295,68642,0.00607549373631553,0.00239379897712466,0.0084692927134402,3.53801333962186,7.50473444181765,0.979815595500684,3.99323425241182,5.11599999666214
"Aschaffenburg- Urban","aschaffenburg|S",2010,6252248.26666667,67994.116987888,38023967.238017,68678,0.00419108258562252,0.0021814974289761,0.00637258001459865,2.92119528996634,7.48895978783355,0.990042182181893,4.11005386844475,2.33199999332428
"Aschaffenburg- Urban","aschaffenburg|S",2015,6426590.57254902,69166.145264459,38487867.5957299,68986,0.00208254245266386,0.00341806521591591,0.00550060766857972,1.60927522475775,7.49392372736416,1.00261133076942,4.25603813391252,1.65399997830391
"Aschaffenburg- Urban","aschaffenburg|S",2020,6638436.09019608,70048.919316652,39489010.5058862,70858,0.00394998287361793,0.00253646654418456,0.0064864494178025,2.55727773452175,7.48092670617488,0.988581660739112,4.27207222445741,2.18200003802776
"Augsburg","augsburg|L",1995,11231644.7882353,135940.239763346,95732770.7230622,226593,0.00796672596630127,0.0094418638716472,0.0174085898379485,1.84376623880635,7.25840998300252,0.599931329579229,2.78192002604825,13.9700002670288
"Augsburg","augsburg|L",2000,12258151.2588235,140769.791180716,97734280.7523591,236422,0.010509081802655,0.0069820987540716,0.0174911805567266,2.50514654301139,7.27262877319684,0.595417478833254,2.91235064388289,7.41599998474121
"Augsburg","augsburg|L",2005,13207209.2588235,143396.176678249,100979028.815763,241381,0.0112172630889934,0.00369707928839796,0.0149143423773913,4.0340877795602,7.25845368506079,0.594065716349874,3.06851795392035,4.17200000286102
"Augsburg","augsburg|L",2010,14184122.3764706,145790.396906693,102980651.03256,240068,0.0109603346695683,0.00331173733893752,0.0142720720085058,4.30954225768538,7.25538411501998,0.607287922199929,3.14113043996002,0.56599999666214
"Augsburg","augsburg|L",2015,15701117.5333333,153290.959906869,112108475.656185,245600,0.0102881664296546,0.0100335723244858,0.0203217387541404,2.02537422335089,7.22062615795795,0.624148859555656,3.30871654281569,2.96399993896484
"Augsburg","augsburg|L",2020,16767538.6941176,155389.480509155,116092505.838465,255900,0.0104231955851647,0.00271938569213721,0.0131425812773019,4.83292286022616,7.19930268420763,0.607227356424989,3.44967002784454,5.46400012969971
"Augsburg -Urban","augsburg|S",1995,14167641.945098,236093.766219853,79150748.8600796,259699,-0.00228962318562265,0.0100357886974617,0.00774616551183904,0.771854185590639,8.00063007203082,0.909105411341026,3.54904247382829,-7.32999992370605
"Augsburg -Urban","augsburg|S",2000,14714526.9019608,246545.852660019,79150748.8600796,254982,-0.0010888696129515,0.00866379008481323,0.00757492047186173,0.874319483471768,8.04394902245489,0.966914733824425,3.61979734197698,-0.171999979019166
"Augsburg -Urban","augsburg|S",2005,15118382.9529412,254722.6394641,79908914.4548675,262676,-0.00111021734961476,0.00652545475759689,0.00541523740798212,0.82986360478214,8.06704312710493,0.96972178449535,3.67832398643654,6.08599999248982
"Augsburg -Urban","augsburg|S",2010,15916600.6196078,268346.671308334,83911976.3201019,264708,-0.000130643642577318,0.0104208858868369,0.0102902422442595,0.987463288246697,8.07026662477631,1.01374598164141,3.73552445829613,3.02600004673004
"Augsburg -Urban","augsburg|S",2015,16463657.7333333,279553.435474584,86030704.4348652,286374,-0.0014242002116675,0.00818275248912954,0.00675855227746207,0.825950960442777,8.08624447483558,0.976183017573468,3.85862226089257,5.78400001525879
"Augsburg -Urban","augsburg|S",2020,16854032.6392157,282604.020937242,86049699.7260455,295830,0.00251626440624412,0.00217064836377741,0.00468691277002154,2.15922249233647,8.09687694437827,0.955291961387426,3.88382928361346,-0.33399999141693
"Aurich","aurich|L",1995,6639958.97254902,77859.7214868055,74601924.9184092,180118,0.0184915632565593,0.0375118766853767,0.056003439941936,1.49295222981387,6.95049773398298,0.432270630846476,2.68784748080953,6.6100001335144
"Aurich","aurich|L",2000,7592764.17254902,80707.4795453844,76605772.0375498,187403,0.0196334874665033,0.00718449784913483,0.0268179853156381,3.73275709434134,6.95991410642302,0.430662687072162,2.74534596624566,6.28600006103516
"Aurich","aurich|L",2005,9093532.27843137,84696.9922361208,86625339.010206,190128,0.0264237750122524,0.00964976718374386,0.0360735421959962,3.73828109104707,6.88524299817988,0.445473534861361,2.78377593049164,3.27400004863739
"Aurich","aurich|L",2010,10197792.3019608,85601.5139768921,88629234.7426279,188947,0.0207969908570942,0.00212457587986825,0.0229215667369624,10.7887729283568,6.87299648219915,0.453045107765099,2.95699143334142,1.28599999547005
"Aurich","aurich|L",2015,11241485.1647059,87067.8904177946,90633159.1859873,189199,0.0160909035232336,0.00339703886654265,0.0194879423897763,5.73674401600538,6.86762330143281,0.460192127959422,3.1921210938284,2.98400002717972
"Aurich","aurich|L",2020,12066026.4117647,87464.0957677104,93638978.4437998,190178,0.0132485180057992,0.000908042220050796,0.01415656022585,15.5902004480123,6.83953692088896,0.459906486384915,3.29435425208538,4.17600002288818
"Bad Dürkheim","badduerkheim|L",1995,8706358.83921569,95185.4462031863,82102390.4164101,130558,0.00439872761725607,0.0286117013777198,0.0330104289949759,1.15373876440222,7.05561520112883,0.729066362866974,2.67138621936872,8.76000022888184
"Bad Dürkheim","badduerkheim|L",2000,9604817.2745098,100249.807220027,87107581.7933632,133815,0.00927460464040113,0.0103676178197887,0.0196422224601899,1.89457431799798,7.0482764951085,0.749167187684694,2.74791171253357,6.38599996566772
"Bad Dürkheim","badduerkheim|L",2005,9999423.16470588,100210.92821739,87852199.6947878,135116,0.0081301064402549,-7.75792886127503e-05,0.00805252715164214,-103.797383240231,7.03937667219987,0.741665888698524,2.79910895062348,3.89000005722046
"Bad Dürkheim","badduerkheim|L",2010,10335589.5058824,100219.759696809,87852199.6947878,132757,0.0065955396880425,1.76250044669986e-05,0.00661316469250953,375.21492291773,7.03946479722221,0.754911301828217,2.90580760358867,0.128000009059907
"Bad Dürkheim","badduerkheim|L",2015,10714834.8705882,101493.591769538,89397516.0454044,132203,0.00468113941019085,0.00252605788827685,0.00720719729846766,2.85314019600083,7.03465804312893,0.767710201504792,3.04213868278531,3.14199994206429
